明星片酬急涨影业老板不慌 业内人士解析内幕
　　本报讯 随着内地影视市场日益蓬勃，演员身价近年也随着上涨，势头不比房价来得慢。昨日有报道称，“宇宙无敌”的甄子丹现在报价已到3000万。张柏芝复出身价劲增4倍，达1000万元，本来收1500万元片酬的梁朝伟，今年身价达到2000万。内地明星涨幅也不小，孙红雷从200万攀升到700万。对于电影明星涨价态势，记者采访多家制片方得到以下三个结论：涨价是市场快速发展的体现、目前曝光的片酬均为最高报价，演员会随着导演、剧本等来作出下调；制片公司付高片酬也可对明星设限。博纳影业老总于冬的说法具有代表性：“明星涨片酬不必惊慌，好演员物有所值，跟风涨价演员拍不到戏，新人可得到机会，这是产业体系建立的一个过程。”涨价背后
　　视导演情况，可“讨价还价”
　　有报道称，李连杰今年接拍徐克新片《龙门飞甲》，身价已由去年的600万美元(约3986万元人民币)，上调至1000万美元(约6644万元人民币)，加幅虽大但片商乐意照付。实际上这是李连杰近几年来片酬较低的时候了，2007年《投名状》时曾收片酬1亿元人民币，而这也得到导演陈可辛侧面证实。真正涨价快的是甄子丹，今年初在《锦衣卫》后他的报价就飙升到2000万，《叶问2》热卖后某大电影公司老板告诉记者，甄子丹已报价3000万，但这个报价一方面是为推掉一些不喜欢的剧本，另一方面也是在维持行情。
　　根据媒体的报道，内地演员中周迅、黄晓明、刘烨、陈坤、李冰冰等，身价基本都是几级跳，周迅、陈坤、黄晓明均涨价250万元，两个冰冰加价也在100万元以上。最夸张的是，有份出演《唐伯虎点秋香2》的周立波，片酬竟由80万元人民币跳升至80万美元，相当于涨了六倍多。对于以上“报价”，影视策划人杨晋松告诉记者，这些基本都是最高报价，会随着导演(剧本和制片公司)的好坏进行调整，“举个例子，如果王家卫拍电影，谁好意思要太多钱？”
　　涨价原因
　　新公司崛起，“哄抬”了价格
　　淡出影坛好几年的张柏芝，一复出身价就由300万元涨到1500万元。据知，她接拍黄百鸣的贺岁片《最强?事2011》，仅20多天戏份就收1000万元片酬，接演陈勋奇的《杨门女将》则收1500万元，但她2006年接拍内地电影《第601个电话》时，片酬只有300万元。为何涨价如此之快，有业内人士分析出两方面原因，找张柏芝演戏的人多了，需求上涨供方当然会提价。
　　杨晋松认为，演员提高片酬根本原因还是电影投资增加，另外票房决定演员片酬上涨，比如刘德华出演《狄仁杰之通天帝国》收1000万元片酬，现在已报价到1800万元，因为《狄仁杰》票房好。当然也有某制片人告诉记者，一些经纪公司为了炒作明星，也会故意将片酬提高，另外一个主要原因是新电影公司不断出现，为了吸引到大牌演员加盟，也不惜将片酬提高到天文数字，在侧面也提高了明星片酬。
　　■ 行情
　　电视圈也借势跟风
　　今年，不少电视剧明星片酬也“翻着跟头”上去了。某影视公司制作人透露，很多剧只要请名演员，片酬就占投资一半。“女演员原本七八万一集的，今年全涨到十万以上。一些二三线演员，去年片酬每集只有二三万的，如今已经涨到了七八万”。
　　据记者了解，“媳妇”代言人海清在拍《双面胶》时，片酬是每集四万，如今对外要价已是十五万每集。近年最高产的林永健，片酬已达到十二三万一集。至于陈道明、王志文、李幼斌这些大腕，片酬都在二十万每集左右。孙俪去年拍摄《小姨多鹤》时，片酬也达到了12万每集。电视剧片酬单集过10万，已是国内一线演员的普遍价。电影明星演电视剧，片酬更是高。今年，谢霆锋接拍《剑侠情缘》片酬高达30万元一集，总共拿走九百万，刷新国内电视剧演员的片酬纪录。
　　某制作人告诉记者，演员片酬也不能一概而论，应该具体到某部戏来分析：“像海清拿过22万一集，孙红雷拿过30万一集，但只是个别剧，不等于他们以后拍电视剧就这个价。导演、编剧、戏份多少，都影响片酬。但无法否认的是，演员片酬目前的确已成为一部戏最大的支出。”
　　■ 业界声音
　　产业调整，“大浪淘沙”
　　●于冬
　　博纳影业集团联席主席
　　现在不仅演员片酬，导演、工作人员酬劳都涨，但大家不用慌，说不定会是个好事。
　　第一，大明星片酬涨了，找他们的片子就会少一些，这样让他们集中精力拍好手里的戏，能提高华语片的水准。第二，明星片酬涨了，制片方相应地会对明星提出限制措施，比如华仔高价接了我的戏，我就会要求他接其他戏的上映时间不能在我这部前面。第三，真正物有所值的明星提高价格依旧能接到电影，而且他们在遇到好的导演和剧本价格也有商量，相反是跟风涨价的明星反而不容易接到戏，倒是给了新人机会。
　　这是个大浪淘沙的过程，片酬高了总会有低的时候，也会让真正有实力的演员得到充分的机会，更好的做法是培养有质量的新人，华语电影路还长，人才永远是缺乏的。
　　■ 红星“报价”
　　演员 去年片酬 今年片酬
　　李连杰 3986万 6644万
　　周润发 3000万 4000万 
　　甄子丹 2000万 3000万 
　　周杰伦 1400万 2500万 
　　梁朝伟 1500万 2000万 
　　刘德华 1000万 1800万 
　　张柏芝 300万 1500万 
　　古天乐 500万 1000万 
　　孙红雷 200万 700万
　　刘青云 250万 650万
　　吴彦祖 400万 650万 
　　舒淇 200万 500万 
　　黄晓明 150万 400万 
　　黄渤 150万 400万 
　　陈坤 150万 400万 
　　周迅 200万 400万 
　　刘烨 200万 400万 
　　姚晨 50万 220万 
　　本报记者 杨林 勾伊娜

