日剧一周Top10综述 《仁医》最高收视华丽谢幕
　　新浪娱乐讯 新年将至，秋季日剧也逐渐进入尾声。本周的榜单又有五部剧迎来了大结局。当中最耀眼的就属这一季多次位居榜首的《仁医》。TBS电视台12月20日晚9点播放的《仁医》最终回以25.3%的收视率华丽谢幕，这个成绩不仅是《仁医》开播以来的最高收视，同时也创下了TBS电视台今年日剧单集的最高收视率。《仁医》全剧十一回，平均收视19.02%，也成为今年秋季日本民营电视台的日剧收视之冠。
　　《仁医》讲述了脑外科医生南方仁穿越回到日本江户时代，用现代医术救助古代病患的故事。该剧改编自同名人气漫画，情节新颖独特，其间穿插不少日本历史上的名人，如坂本龙马、绪方洪庵等。演员阵容强大，主演大泽隆夫的精彩表现让很多观众流下热泪。本季《仁医》的优秀成绩使其还未播完就已传出要拍续集的新闻，而开放式的结尾更是让人充满期待，也很有可能被搬上大荧幕。
　　因剧集大受欢迎而制作成电影的成功范例很多，值得一提的是最近又回到荧屏的《交响情人梦》。为了给12月19日公映的电影版《交响情人梦——最终乐章前篇》做宣传，富士电视台于12月8日——18日下午重播了曾经创下平均18.79%收视率的日剧《交响情人梦》，并于18日晚21点、19日晚22点分别播放了增添新的拍摄内容的特别篇第一夜和第二夜。曾经创下18.9%和21%的特别篇，至今仍然能取得16.6%和15.5%的亮眼成绩，不得不承认当时红透日本的《交响情人梦》魅力至今不减。
　　由人气偶像小栗旬和水岛宏主演的日剧《东京DOGS》也上演了最终回，该剧拍摄期间经历了换导演风波，收视率也是忽上忽下，最终回的剧情似乎过于平淡让人不免有些失望。14.0%的收视成绩不算理想，但与富士电视台本年其它周一晚9点档的大结局相比似乎还略胜一筹。
　　以警视厅特殊犯罪搜查科为舞台的《交涉人2》本周也结束播放，电影版的《交涉人》预计2010年2月公映，相信本季的《交涉人2》也会成为电影预热的成功之作。TBS电视台的《小公女莎拉》、《单身情歌》等剧也在本周播完，下周本季的日剧就基本完结。各个电视台都开始为2010年冬季日剧摇旗呐喊了，日剧观众也可以尽情期待新一季的精彩剧集。  刘颖/文
　　200912.15—2009.12.21日剧收视排行榜
　　剧集                   电视台       收视率
　　仁医(最终回)            TBS         25.3%
　　相棒                    朝日        18.5%
　　坡上的云                NHK         17.8%
　　交响情人梦特别篇第一夜  富士        16.6%
　　交响情人梦特别篇第二夜  富士        15.5%
　　东京DOGS(最终回)       富士         14.0%
　　交涉人2(最终回)        朝日         12.9%
　　小公女莎拉(最终回)     TBS          10.9%
　　不毛地带               富士         10.8%
　　单身情歌(最终回)       TBS          10.3%

