韩剧收视《天堂牧场》收官《49天》华丽上演
　　新浪娱乐讯 本周(3月14日—3月20日)作为SBS月火剧最后一部作品，《天堂牧场》迎来最低收视，遗憾收场。一直在追赶《同伙》的《Midas》因老套的剧情惹来观众不满，收视率下降，形势危急。由赵显宰、李瑶媛主要的新剧《49天》接档热门韩剧《Sign》，华丽上演。
　　《天堂牧场》最差收视遗憾谢幕
　　15日《天堂牧场》迎来最后一集，伴随大团圆结局而来的最低收视使本剧遗憾收场。此剧在开播伊始，便打着东方神起的名号吸引到大量粉丝，沈昌珉与SM公司当家女花旦李妍熙的主演阵容，再搭上《咖啡王子一号店》的编剧，“硬件配备”着实让人期待满满。可随着该剧的播出，收视率从7.8%一路下滑至5.6%(TNS全国收视率)，辜负了粉丝之前的期待。这一情况与09年东方神起另一成员郑允浩的《向大地头球》有着惊人的相似。SM娱乐公司近年来试图将公司内偶像组合成员打造成全方位艺人，不仅大力投资影视剧，还让旗下艺人出演男女主角，力求打造“SM制造”的招牌。但从收视率和影响力来看，观众并不买账。据悉SM公司已买下了日本漫画改编电视剧《偷偷爱着你》的版权，希望可以凭借此剧打一回漂亮的翻身仗。
　　《天堂牧场》完结后不会再有接档的电视剧播出，SBS电视台将推出全新的综艺节目以挽救这一时间段的收视率，之前宣传由BigBang成员姜大成主演的新剧《What's up》接档的消息也正式化为泡影。
　　《Midas》金钱游戏欲罢不能
　　本周播出的6、7两集收视率较上周相比有所下滑，从11.5%降到10.0%，与同期对手《同伙》持续攀高相比，日收视率低了4.4%，形势危急。
　　金道玄(张赫饰)在仁惠(金喜爱饰)的提议下放弃了与静妍(李珉廷饰)的约定，开始追逐欲望的本能，正式踏入金钱游戏。一些人可以抵抗住金钱的诱惑，而另一些人却因为内心对于金钱过多的欲望而渐渐迷失本性，正如道玄对仁惠说“我以为有机会的话我还能回到以前，可是现在真的回不去了。”静妍悲伤之余同时思考着明俊(诺珉宇饰)提出报复的建议，一场因为欲望带来的灾难悄悄袭来。
　　不可否认此剧在播出前5集以新颖的角色搭配，独辟蹊径的故事题材以及华丽震撼的场景吸引了许多看腻温情肥皂剧的观众，收视率一直上升。然而随着剧情的突变，不治之症、报复旧情人戏码的出现使本来对此剧怀有极大兴趣的观众犹如被泼了一盆凉水，有了“原来编剧也不过如此”的这种想法，即使有戏骨们的支撑，依然不能脱离俗套的剧情成为了收视下降的致命伤。本以为该剧可以和《同伙》一较高下，但目前的状况颇为让人遗憾。
　　《49天》灵感来自《秘密花园》？
　　接档《Sign》播出的《49天》，题材与之前高人气韩剧《秘密花园》有异曲同工之妙，申贤智(南圭丽饰)因为车祸灵魂脱壳，在时间天使(郑日宇饰)的帮助下附体到宋怡景(李瑶媛饰)身上，必须在49天之内取到三滴“爱的眼泪”，方可重回人间。借用她人的身体，发现了从前不曾察觉到的真相。如果说《秘密花园》开创了韩剧题材新领域，无疑此剧便是一部跟风之作。在灵魂转换的基础上，塑造出“时间天使”这一最新人物形象，不仅来去飘忽不定，还有一辆重型机车，平时爱好是混到club中听摇滚乐猛嗨……郑日宇帅气的形象，冷漠与热情兼具的个性饰演这个角色可谓绰绰有余。男主角赵显宰08年通过《三个爸爸一个妈妈》回归电视荧屏后，一直忙于电影事业，对于他的剧迷来说，这部剧显得弥足珍贵。女主角李瑶媛在剧中要塑造出两种截然不同的人物性格，既要表现出怡景心如荒漠的状态，又要表现出贤智本身大而化之感情丰富的不同之处，极与极的强烈反差相当考验演技。
　　本周开播收视率在8%左右徘徊，在《皇室家族》和《荆棘鸟》的左右夹击下，期待下周收视率上升。
　　韩剧一周收视TOP10 (3.14－3.20)
　　(韩国全国收视统计；数据来源：TNS Media Kore)
　　1、日日连续剧《笑吧，东海》             KBS1               38.1%
　　2、周末连续剧《相信爱情》               KBS2               21.8%
　　3、周末特别企划《欲望的火花》           MBC                16.7%
　　4、周一二档剧《同伙》                   MBC                13.4%
　　5、日日连续剧《南瓜花的纯情》           SBS                13.4%
　　6、周末连续剧《一闪一闪亮晶晶》         MBC                12.0%
　　7、周末剧场《笑吧，妈妈》               SBS                11.7%
　　8、早间剧场《红字》                     MBC                11.6%
　　9、特别企划《新妓生传》                 SBS                11.4%
　　10、周三四档剧《皇室家族》              MBC                11.0%(allenlu)

