日剧一周Top10综述 仁医二季尽显霸主风范
　　新浪娱乐讯 上周(4月11日至4月17日)开始，春季日剧开始纷纷上档。与惨淡的冬季剧集相比，目前春季剧集的势头喜人，《仁医》、《BOSS》几部热门剧的续集不负人们的预期，《仁医》甚至大收23.7%，一登台就显示出了本季冠军舍我其谁的霸气。而之前没有受到太多关注的《遗留搜查》，也收到比《BOSS》更高的17%。看到这样的形势，令人十分期待日后收视大战的全面打响，相信本季的战况一定会十分精彩激烈。
　　大泽隆夫主演的连续剧《仁医》，是一部以现代脑外科医生“穿越”回到幕末时代，在当时简陋的条件下，发挥自己的医疗技术克服困难治病救人为题材的故事。第一季播出时首集收视16.5%，而后一路走高，最后得到平均收视19%的骄人成绩，并引来了大众要求续集的呼声。4月17日，《任医》第二季的播出正式开始，不负众望地喜获23.7%的高收视率，关西地区收视更高达27.2%。甫一开场，便已经奠定了本季冠军的最有力争夺者地位。这一季除了上部以大泽隆夫、内野圣阳、绫濑遥为首的固定班底外，市村正亲等扮演的历史名人们也纷纷登场，新的一季故事将会越发波澜壮阔。
　　朝日电视台4月13日开始播出的连续剧《遗留搜查》，以警视厅搜查一课的科学搜查系为舞台，描写上川隆夫扮演的刑警糸村聪通过对杀人事件受害人的遗物展开不懈调查，最终揭发案件真相。此前，日本ORICON STYLE杂志曾对春季电视剧期待度进行了调查，该剧在排行榜上根本连名字都不见，但实际播出却收到17.0%的数字，俨然黑马身段。不过只要将之视为《相棒》的接档之作，那么这个收视率也不让人那么惊奇了，毕竟《相棒》的第九季平均收视达到了20.4%，即使只是惯性收看，也能给《遗留搜查》带来莫大的收视底数。从第一集的剧情来看，颇有可圈可点之处，该剧收视有望维持。
　　除了《仁医》之外，本季还有《BOSS》、《钢之女》两部续集作品，在期待度排行榜上，也是这三部戏排在前三甲。《钢之女》还要再过一周播出，走美剧罪案剧风格的《BOSS》第二季已经于4月14日上档。天海佑希时隔两年后，再次以女王风范率领竹野内丰、户田惠梨香等一干各有特性的手下，作为“特„e犯罪Œ策室”而侦破大案奇案。第一话的收视成绩为16.0%，稍低于第一季17.0%的平均收视率，也比第一季的首回18.0%要低一些。考虑到上一档《外交官 黑田康作》的收视与口碑欠佳的影响，这个数字也在正常范围之内。
　　另外，为收视不振而挣扎的大河剧《江～公主们的战国～》女主角江面对了婚礼初夜的烦恼，收视回升到19.2%。
　　日剧排行榜2011.4.11-2011.4.17   
　　剧集                         电视台      收视率  
　　仁医(第二季)                 TBS         23.7%  
　　江～公主们的战国～           NHK         19.2%  
　　遗留搜查                     朝日        17.0%   
　　过界律师・巽志郎11            朝日        16.1%   
　　BOSS(第二季)                 富士        16.3%
　　鬼平犯科帐SP 一寸之虫        富士        14.3% 
    温泉车旅--樱庭静香事件簿3    TBS         13.3%
　　班长～神南署安积班第四季～   TBS         13.0%    
　　冷暖人间                     TBS         11.9%   
　　养狗记～小天和我家的180天～  富士         9.5%
　　(布布)

