韩剧收视综述：史剧热潮将到 “三顺”魅力依然
　　新浪娱乐讯 本周(7月11日?7月17日)有两部剧结束了放送，《新妓生传》与《浪漫小镇》都迎来的大结局，收视率也分别创造了开播以来的最高收视，欢喜收尾。“喜剧女王”金善雅的新剧《女人的香气》将接档《新妓生传》，“三顺”的魅力让人期待。从下周开始，荧屏上将会出现四部历史题材的电视剧，史剧热潮将成为7月末的主旋律。此外受人关注的热门剧《城市猎人》本周收视略有下降，但依然稳坐水木剧冠军宝座，一时间难以被撼动。
　　看点一：历史剧将成荧屏主旋律
　　除了目前已播出的《广开土大王》和《武士白东秀》之外，在下周将再次迎来两部历史剧，分别为接档《浪漫小镇》的《公主的男人》以及接档《再见雷普利小姐》的《?伯》。每周将有6天在不同时间段播出历史剧，对此有兴趣的观众可以狂欢了。这之中精彩的对战出现在周一周二，《武士白东秀》将正面迎战《?伯》。目前，稍早播出的《白东秀》破10的初播收视及一路上升的收视率，都证明了观众对历史题材的电视剧兴趣不减，此剧也在一定程度上占有优势，但是《?伯》的演出阵容却不容小觑，男女主角分别为李瑞镇和宋智孝，继此外还有车仁表、赵才贤等实力派加入，不比《白东秀》的可看性低。另一部史剧《公主的男人》与热门剧《城市猎人》碰上，虽然《猎人》再有四集就将完结，但是前者对后者的收视率能否突破20%绝对会有不小的影响。
　　看点二：“三顺”能否再次创造收视奇迹
　　《新妓生传》在丝兰经过长时间待产后终于生下宝贝女儿为结局，画上了圆满句号。下周接档的是众多观众期待已久的“三顺”金善雅的新剧《女人的香气》。这部剧是金善雅在09年出演《市政厅》后，再次以崭新的面貌回归观众视线的期待之作。不得不提的还有男主角李东旭，6月20日刚刚结束兵役，就立即投入到本剧的拍摄中，和金善雅上演一段冷酷财阀富二代与癌症末期小职员擦出火花的浪漫喜剧。三顺为此剧大变形象，不仅一下子减了十斤，还戴上了黑框眼镜，玉米须般的长发与之前的形象截然不同。在预告片中甚至还有金善雅身着比基尼的片段，窈窕的身段完全与三顺有天壤之别。素有“喜剧女王”之称的她此次又会为观众带来何种笑料呢？本剧又能否再次创造出当年“三顺”的辉煌收视呢？7月23日的首播，让人期待。
　　看点三：美女间谍的无厘头
　　KBS台周一周二的新剧《间谍明月》本周收视率仅为8.6%，与观众的期待值相比，收视偏低。从播出的前两集可以看出，这是一部无厘头爱情喜剧，不管是北朝鲜的“韩流热”还是间谍美女韩艺瑟色诱巨星文政赫加入朝鲜籍的剧情，都充满了无厘头色彩。在这部剧中，苦大仇深的政治话题显然不是关注的重点，既浪漫又搞笑的剧情才是本剧所要关注的看点，有人追究剧情发展的合理性，面对如此一部就是要搞笑的电视剧，逻辑显然变得不重要了。一二集中令人惊艳的场景出现在韩艺瑟身穿红色礼服出现在拍卖会现场，以及为文政赫抢回拍卖品而出手打退李真旭的一幕，虽然武打招式有些生硬，但美感不减。除此外，韩艺瑟假装失忆以躲避文政赫的问话的场景像极了《幻想情侣》中的罗桑实。
　　看点四：相爱容易相守难 “猎人”何去何从
　　相较于《间谍明月》的轻松明朗，本周《城市猎人》上演了“相爱容易相守难”的一幕。为了不让娜娜(朴敏英饰)身处在危险中，李润成(李敏镐饰)终于向娜娜提出分手，并告诉她分手的实情是不愿意看到娜娜为自己受到伤害，更祝福她可以遇到好男人幸福的活下去。听及此番言论的娜娜更是伤心不已，看着润成离开的背影泪流不止……看到此剧情的观众纷纷叹息并期待后续发展，希望有情人可终成眷属。在经过上周收视大幅提高后，本周稍有回落，两集收视率分别为17.4%和17.5%，虽与对手《浪漫小镇》及《你为我着迷》中保持着冠军优势，但离结束放送仅有两周时间，收视率破20%仍需努力。
　　韩剧一周收视TOP10 (7.11－7.17)
　　(韩国全国收视统计；数据来源：TNmS Media Kore)
　　1、周末剧《相信爱情》              KBS2      25.9%
　　2、特别策划《新妓生传》            SBS       23.6%
　　3、日日剧《我们家的女人们》        KBS1      20.0%
　　4、周末剧《一闪一闪亮晶晶》        MBC       19.2%
　　5、电视剧特辑《城市猎人》          SBS       17.4%
　　6、大河剧《广开土大王》            KBS1      15.2%
　　7、日日连续剧《不屈的儿媳们》      MBC       13.3%
　　8、周一二档剧《武士白东秀》        SBS       13.1%
　　9、周一二档剧《再见雷普利小姐》    MBC       13.1%
　　10、周三四档剧《浪漫小镇》         KBS2      11.7%

