日剧一周Top10综述 岛田引退对日剧造成影响
　　新浪娱乐讯 上周(8月22日至8月28日)播放的日剧中，《新·警视厅搜查一课9系》获得15.6%，比上一周微有下降，《江～公主们的战国～》持续在15%左右浮动，也收得15.6%，结果造成了《新9系》与《江》的并列冠军。虽然历来的大河在7-9月间都会有收视低谷区，但《江》与《龙马传》、《天地人》等相比仍然显得太过萎靡。本季内能否回升到令人满意程度，还要看内容决定。
　　《冷暖人间》继两周前的14.7%后，这一周继续发力，14.9%的成绩很是醒目。TBS的这部长寿剧集可称镇台之宝，本季的播出将在9月底结束，预计接下来的几集很可能有15%以上的成绩。
　　8月23日，日本名主持人岛田绅助因种种原因，突然宣布退出娱乐圈。由于岛田绅助担任多部黄金时间节目的主持，退出后一些节目只得叫停，另一些则不得不紧急换将。于是曾经要与这些节目打对台的日剧剧集也都随着沾了意料之外的光。比如周三十点的《BULL DOCTOR》与周日九点的《华和家四姐妹》就是其中的受益者。《BULL DOCTOR》从11.8%升至12.9%，而《华和家四姐妹》则从最低纪录10.2%直升为12.3%。在没有了岛田的综艺节目之后，《BULL DOCTOR》无疑成为了星期三最有收视竞争力的节目。以后该剧的收视数字多半会继续走高，视后半质量，甚至可能大幅跃升。
　　《仁医-完结篇》的接档之作《华和家四姐妹》虽然是名漫画家柴门文的原作改编，但被观众指剧情松散无聊，自开播借《仁医》余威得到13.5%以来，收视一路走跌，每一集都比前一集有所下降。而在岛田绅助退出招牌节目《大排长龙的法律商谈所》后，《华和家四姐妹》突然升高2.1%。同时段朝日台播放的电影《BALLAD 无名的恋歌》也得到了13.9%的收视，这个数字对于电视播出的电影剧场来说，也是不错的成绩。《法律商谈所》的原观众分流效果由这两例就可见一斑了。
　　《白色荣光3》本周表现出色。由于开播以来的大悬念之一在这一周揭开，又有戏剧性的转变，收视也随之较前集上升2.9%，达到13.5%。是首集以来的最好成绩。在《白色荣光3》前播放的《绝对零度2》则微落0.4%。从收视变化看，这两部戏已经养成了一定的收视惯性，日后表现也会较稳定。另外《全开女孩》也总算摆脱了前期的阴影，故事越来越精彩有趣，也走上了真正的爱情剧路线，观众口碑有所好转。本周再次上升0.6%，达到13.1%。
　　日剧排行榜2011.8.22-2011.8.28
　　剧集                     电视台   收视率
　　新·警视厅搜查一课9系     朝日    15.6%
　　江～公主们的战国～        NHK     15.6%
　　冷暖人间                  TBS     14.9%
　　白色荣光3                 富士    13.5%
　　破婚的条件                富士    13.2%
　　全开女孩                  富士    13.1%
　　BULL DOCTOR               日本    12.9%
　　绝对零度2                 富士    12.7%
　　华和家四姐妹              TBS     12.3%
　　京都地检之女              朝日    10.6%

