韩剧收视综述：《千日》升至前五 秀爱角色获赞
　　新浪娱乐讯 本周(10月24日—10月30日)的排行榜依然沉闷，除第一名《鹊桥兄弟》略有下降外，其他几部韩剧有小幅增长。进步最突出的则是新上榜的韩剧《千日的约定》，从上周第十名一跃上升五个名次，秀爱饰演患有老年痴呆症的角色十分考验演技，从网友在官网上留下的信息可以看出，她的演技深深打动了观众。除此外《荣光的在仁》首次上榜，排在第九名，与同时间段播出的韩剧《树大根深》仍有一段差距。接下来上档的《我也是花》将参与到水木剧的竞争中，《荣光》与《树大根深》是否能抵住对手的攻势保住收视率，都是未知数。
　　热剧点评：
　　《千日的约定》蝉联月火冠军 秀爱角色揣摩到位
　　新开播的热剧《千日的约定》一开封即登上排行榜第十名，本周实现大跳跃，冲到了第五名的位置，平均收视率14.6%，继续蝉联月火档的冠军宝座，成为本周唯一的亮点。已经得知自己病况的舒妍(秀爱饰)却不能接受这个事实，不断反复记着周遭的事物，但最终发现即使这样也于事无补。文权(朴有焕饰)无意中发现了姐姐的病历，被真相打击的他找到在民(李尚禹饰)告诉对方舒妍的反常。秀爱清纯中透着坚强的形象通过舒妍这个角色再次得到观众的认可，尤其是剧中经常会出现秀爱的旁白，在平静缓慢的口吻中带有一丝孤单和悲伤，十分符合角色本身的形象。虽然有部分网友反应对于本剧的风格不能接受，但直线上升的收视率证明观众仍然对这种类型的电视剧抱有热情，仍然会为剧中男女主角的遭遇或悲或喜。
　　下周预告：
　　由李智雅和尹时允主演的《我也是花》将于11月9日在MBC电视台周三四播出，另一部进入尾声的日日剧《我们家的女人们》也将由徐道营和朴贞雅主演的电视剧《只有你》接档。
　　《我也是花》李智雅火速复出 领衔爱情喜剧
　　因离婚事件陷入事业危机的李智雅此次重整旗鼓，携手当红炸子鸡尹时允共同上演一出火爆女警恋上多金男的最强罗曼史。《我也是花》从制作初期就新闻不断，先是女主角的人选问题，再到金载沅因伤退出，尹时允中途上车等等，都使该剧未播先红。单从剧本方面看，不过又是一个老套的麻雀变凤凰的童话故事，但“女大男小”的演员配置则出现了新的看点。另外本剧的编剧金道宇，曾编写出创造过收视记录的大热剧《我的名字叫金三顺》，是担当收视保证的不二人选。而男一号尹时允在《面包王金卓求》之后，急需一部作品巩固自己的人气，《我也是花》中他将摇身一变成为一名魅力多金男，与李智雅阴错阳差的搞笑相逢，促成一段轻松明快的爱情喜剧。
　　《只有你》豪门千金奋斗史 灰姑娘不再吃香
　　这部即将在11月7日开封的作品与之前日日剧中塑造的女主角有些不同，这里的女人们出身豪门，不是自怜自艾的灰姑娘，她们将用自己的方式向人证明，不是只有灰姑娘才能得到白马王子的喜爱，美貌与实力并存的豪门千金一样可以有happy ending。通过《笑吧，东海》一跃成为日日剧女王的朴贞雅时隔五个月后再度回归电视荧屏，依然选择了百集以上的日日剧。在剧中将饰演一个有着强大野心，希望成为建筑界代表人物的强悍女子。而另一女主角韩惠琳则凭借《新妓生传》金拉拉一角成为炙手可热的新晋女演员。因为该剧打破了韩剧惯常的主人公从一贫如洗走向成功的老套剧情，不少观众都对该剧期待不已。
　　韩剧一周收视TOP10 (10.24－10.30)
　　(韩国全国收视统计；数据来源：TNmS Media Korea)
　　1、周末剧《鹊桥兄弟》           KBS2     27.7%
　　2、日日剧《我们家的女人们》     KBS      25.4%
　　3、大河剧《广开土大王》         KBS      19.8%
　　4、周三四档剧《树大根深》       SBS      18.1%
　　5、周一二档剧《千日的约定》     SBS      14.6%
　　6、周末特别企划《爱情万万岁》   MBC      13.7%
　　7、日日剧《不屈的儿媳们》       MBC      13.3%
　　8、日日剧《你睡着的时候》       SBS      12.8%
　　9、周三四档剧《荣光的在仁》     KBS      12.1%
　　10、周一二档剧《阶伯》          MBC      11.0%(allenlu)

