日剧一周收视 绝对零度与白色荣光续作表现佳
　　新浪娱乐讯 上周(7月11日至7月17日)，又有5部夏季日剧开播首集。现在除了朝日电视台的星期四、五、日三档新剧外，夏季日剧基本都已上档，特别是观众重点关注的剧集都已经开播。其中《绝对零度2》与《白色荣光3》两部续作不负之前的预测，取得了良好的首集数字。
　　富士电视台的火九(星期二九点档)《绝对零度2》的首集获得15.4%的收视，恰逢NHK大河剧《江～公主们的战国～》收视进一步下跌，创造目前的最低纪录15.3%，于是幸运地成为上周的收视冠军。该剧由中坚女星上户彩主演。第一季中，讲述的是新人女刑警樱木泉进入警视厅新成立的团队“特命搜查对策室”，以高科技手段解决各种未解决事件的故事。而第二季则正如副标题改为“特殊犯罪潜入调查”一样，背景设定大幅更改，樱木泉与她的上司长屿秀夫(北大路欣也饰演)在人事调动中转入“警视厅特殊犯罪搜查对策室”，追踪犯罪的重点也改为伪装潜入进行内部机密调查。《绝对零度》的第一季首集收视为18.0%，但之后一直在14%上下浮动，最终回亦只有12.8%。这与第二季的彻底改头换面可能不无关系。焕然一新后，强调潜入侦察过程的《绝对零度2》与其他罪案剧就有了很大的不同，情节也显得更加紧张刺激，且看这一手段能否更好地刺激收视走高。
　　《绝对零度2》播放完毕之后，紧接着播放的就是十点档的《白色荣光3 阿里阿德涅的子弹》。14.2%的首集收视，令人联想到该剧第二季《染血将军的凯旋》平均收视14.42%的数字，可以说是不出观察者的预想。剧集的开篇先声夺人，剧中两位主角之一的田口公平(伊藤淳史饰演)莫名其妙在垃圾堆中一具男尸边醒来，医院认为这具尸体是衰弱死亡，而另一男主角白鸟圭辅(仲村彻饰演)提议之下，进行“死亡时画像诊断”，结果认定此人乃是溺死。可以看到，《白色荣光》这一季的主题已经正式改换成为“对死者真正死因的追查”。严格说来，以法医视角来推动破案在罪案剧中并不少见，与本季的《BULL DOCTOR》更是正好撞车。但《白色荣光3》的优势在于有前两季的良好基础，也有畅销书原作的口碑支持。与之相比，《BULL DOCTOR》还是难免相形见绌。
　　除了这两部深受瞩目的剧集外，富士台的新月九(星期一九点档)《全开女孩》也拉开了帷幕。本剧讲的是一位好强的年轻白领女性鲶川若叶(新垣结衣饰演)被上司拜托，为其照顾5岁的女儿，因而在保育园里与懦弱的家庭主夫山田草太(锦户亮)邂逅。“最强之女”与“最弱之男”在不断的碰撞中陷入爱河的爱情轻喜剧。之前也曾说过，最近这段时间里富士月九档一直是命运多舛，《全开女孩》虽然第一话收14.6%，但播映过后观众的评论不佳，情况很类似前一档《一定要幸福》。《一定要幸福》首集16.4%急跌到第二集的11.9%的例子仍在眼前，《全开女孩》很难说不会就此步上《一定要幸福》的后尘。如果这个现象真的出现了，那么说明很大一部分观众都对月九采取了“只看第一回就好”的态度。作为坚持主打爱情主题的档，月九在如今已经成为了少数派中的少数派。一旦这个标杆真的倒下，爱情剧恐怕在很长一段时间里都难以再翻身了。
　　另外，《新·警视厅搜查一课9系》第二集收视率为15.3%，上涨0.5。《BULL DOCTOR》则收10.8%，下降3.1%，跌出了收视榜。《华和家四姐妹》为12.5%，跌1%。
　　日剧排行榜2011.7.11-2011.7.17
　　剧集                     电视台    收视率
　　绝对零度2                 富士     15.4%
　　新·警视厅搜查一课9系     朝日     15.3%
　　江～公主们的战国～        NHK      15.3%
　　全开女孩                  富士     14.6%
　　白色荣光3                 富士     14.2%
　　冷暖人间                  TBS      13.3%
　　华和家四姐妹              TBS      12.5%
　　京都地检之女              朝日     12.4%
　　奥会津隐村传说杀人事件    富士     11.3%
　　堂吉诃德                  日本     11.0%

