光线传媒打造国剧盛典 收视全国称冠(组图)
　　新浪娱乐讯 光线传媒主办的《国剧盛典·回响30年》12月29日于北京举行。作为2008年最重要的年度娱乐事件，《国剧盛典·回响30年》自当天12点开始直播，创造了连续11个小时直播的历史记录。据权威收视率调查机构CSM次日公布的数据，这台直播的大型盛会收视率创下了1.35%的历史新高，并全面超越包括央视所有频道在内的收视率，直播晚会当晚的收视率位居全国第一。即便在盛典举行前的7小时直播中，仍以0.26%的收视位列全国第二，并最终斩获全国收视率之冠。
　　在这台全景重温中国电视剧辉煌历程，向改革开放献礼的大型盛会中。171位的中国电视剧界顶级剧星出席了《国剧盛典》，而十二大经典剧组也首次实现了跨越时空的现场大聚首，可谓盛况空前。当晚的盛会还揭晓了三十部最具影响力电视剧、三十位最具影响力人物、三十首最具影响力电视剧主题曲以及国剧三十年杰出贡献者的名单。
　　为举办此次活动，光线传媒卫视工作室整合集团内部的强势资源，打造了这台2008年岁末中国电视剧界的饕餮盛宴，最终创造全国第一的收视神话，一举打破了央视与湖南卫视长期占据收视榜首的局面。
　　据悉，《国剧盛典》是光线传媒卫视工作室成立以来的开山力作，据光线传媒总裁王长田透露，2009年，光线传媒与众多的卫视频道合作将更为紧密，并将酝酿更大的动作。光线集团副总裁李德来亦信心十足的表示，此番光线传媒的强力出击助力卫视夺得全国收视第一，卫视工作室2009年将助力更多的卫视，展开更大规模的合作，并最终使全国的卫视格局重新洗牌，重排座次。
　　附：《国剧盛典》12月29日收视表现
　　(12月29日/19：35-23：40/CSM22个城市收视仪数据)
　　排名 频道 收视率% 
　　1 安徽卫视 1.35
　　2 中央电视台综合频道 1.21 
　　3 中央台六套 0.95 
　　4 中央台四套 0.94 
　　5 中央台八套 0.67 
　　6 湖南卫视 0.6 
　　7 中央台三套 0.57 
　　8 浙江卫视 0.56 
　　9 中央台五套 0.55 
　　10 江苏卫视 0.51 

